release_month,count
2000-03-01 00:00:00+00,1
2003-08-01 00:00:00+00,1
2004-01-01 00:00:00+00,3
2004-08-01 00:00:00+00,2
2004-09-01 00:00:00+00,20
2004-10-01 00:00:00+00,36
2004-11-01 00:00:00+00,25
2004-12-01 00:00:00+00,15
2005-01-01 00:00:00+00,15
2005-02-01 00:00:00+00,32
2005-03-01 00:00:00+00,24
2005-04-01 00:00:00+00,26
2005-05-01 00:00:00+00,10
2005-06-01 00:00:00+00,39
2005-07-01 00:00:00+00,22
2005-08-01 00:00:00+00,38
2005-09-01 00:00:00+00,26
2005-10-01 00:00:00+00,36
2005-11-01 00:00:00+00,40
2005-12-01 00:00:00+00,23
2006-01-01 00:00:00+00,41
2006-02-01 00:00:00+00,32
2006-03-01 00:00:00+00,34
2006-04-01 00:00:00+00,56
2006-05-01 00:00:00+00,35
2006-06-01 00:00:00+00,39
2006-07-01 00:00:00+00,63
2006-08-01 00:00:00+00,60
2006-09-01 00:00:00+00,63
2006-10-01 00:00:00+00,82
2006-11-01 00:00:00+00,101
2006-12-01 00:00:00+00,67
2007-01-01 00:00:00+00,69
2007-02-01 00:00:00+00,72
2007-03-01 00:00:00+00,102
2007-04-01 00:00:00+00,84
2007-05-01 00:00:00+00,107
2007-06-01 00:00:00+00,85
2007-07-01 00:00:00+00,106
2007-08-01 00:00:00+00,110
2007-09-01 00:00:00+00,92
2007-10-01 00:00:00+00,95
2007-11-01 00:00:00+00,112
2007-12-01 00:00:00+00,138
2008-01-01 00:00:00+00,137
2008-02-01 00:00:00+00,140
2008-03-01 00:00:00+00,175
2008-04-01 00:00:00+00,134
2008-05-01 00:00:00+00,147
2008-06-01 00:00:00+00,150
2008-07-01 00:00:00+00,105
2008-08-01 00:00:00+00,185
2008-09-01 00:00:00+00,134
2008-10-01 00:00:00+00,141
2008-11-01 00:00:00+00,162
2008-12-01 00:00:00+00,172
2009-01-01 00:00:00+00,149
2009-02-01 00:00:00+00,168
2009-03-01 00:00:00+00,219
2009-04-01 00:00:00+00,188
2009-05-01 00:00:00+00,211
2009-06-01 00:00:00+00,228
2009-07-01 00:00:00+00,239
2009-08-01 00:00:00+00,286
2009-09-01 00:00:00+00,372
2009-10-01 00:00:00+00,1185
2009-11-01 00:00:00+00,962
2009-12-01 00:00:00+00,791
2010-01-01 00:00:00+00,911
2010-02-01 00:00:00+00,813
2010-03-01 00:00:00+00,870
2010-04-01 00:00:00+00,759
2010-05-01 00:00:00+00,698
2010-06-01 00:00:00+00,741
2010-07-01 00:00:00+00,815
2010-08-01 00:00:00+00,952
2010-09-01 00:00:00+00,878
2010-10-01 00:00:00+00,988
2010-11-01 00:00:00+00,330
